time,emissions,city,year,pollutant,sector
2010-01-15,186.56807,Beijing,2010,BC,POWER_INDUSTRY
2010-02-15,144.14015,Beijing,2010,BC,POWER_INDUSTRY
2010-03-15,179.3908,Beijing,2010,BC,POWER_INDUSTRY
2010-04-15,171.98795,Beijing,2010,BC,POWER_INDUSTRY
2010-05-15,168.19424,Beijing,2010,BC,POWER_INDUSTRY
2010-06-15,162.82156,Beijing,2010,BC,POWER_INDUSTRY
2010-07-15,174.85887,Beijing,2010,BC,POWER_INDUSTRY
2010-08-15,182.32324,Beijing,2010,BC,POWER_INDUSTRY
2010-09-15,161.20154,Beijing,2010,BC,POWER_INDUSTRY
2010-10-15,158.63823,Beijing,2010,BC,POWER_INDUSTRY
2010-11-15,172.58264,Beijing,2010,BC,POWER_INDUSTRY
2010-12-15,187.942,Beijing,2010,BC,POWER_INDUSTRY
2011-01-15,190.48914,Beijing,2011,BC,POWER_INDUSTRY
2011-02-15,157.42142,Beijing,2011,BC,POWER_INDUSTRY
2011-03-15,193.91774,Beijing,2011,BC,POWER_INDUSTRY
2011-04-15,183.51921,Beijing,2011,BC,POWER_INDUSTRY
2011-05-15,184.28613,Beijing,2011,BC,POWER_INDUSTRY
2011-06-15,187.03802,Beijing,2011,BC,POWER_INDUSTRY
2011-07-15,202.08318,Beijing,2011,BC,POWER_INDUSTRY
2011-08-15,205.5343,Beijing,2011,BC,POWER_INDUSTRY
2011-09-15,187.17337,Beijing,2011,BC,POWER_INDUSTRY
2011-10-15,177.97032,Beijing,2011,BC,POWER_INDUSTRY
2011-11-15,182.52673,Beijing,2011,BC,POWER_INDUSTRY
2011-12-15,203.68468,Beijing,2011,BC,POWER_INDUSTRY
2012-01-15,183.48085,Beijing,2012,BC,POWER_INDUSTRY
2012-02-15,195.99673,Beijing,2012,BC,POWER_INDUSTRY
2012-03-15,214.28201,Beijing,2012,BC,POWER_INDUSTRY
2012-04-15,189.11067,Beijing,2012,BC,POWER_INDUSTRY
2012-05-15,187.01694,Beijing,2012,BC,POWER_INDUSTRY
2012-06-15,183.55064,Beijing,2012,BC,POWER_INDUSTRY
2012-07-15,198.97449,Beijing,2012,BC,POWER_INDUSTRY
2012-08-15,198.53249,Beijing,2012,BC,POWER_INDUSTRY
2012-09-15,176.38544,Beijing,2012,BC,POWER_INDUSTRY
2012-10-15,181.01491,Beijing,2012,BC,POWER_INDUSTRY
2012-11-15,197.76477,Beijing,2012,BC,POWER_INDUSTRY
2012-12-15,220.26077,Beijing,2012,BC,POWER_INDUSTRY
2013-01-15,188.64964,Beijing,2013,BC,POWER_INDUSTRY
