time,emissions,city,year,pollutant,sector
2010-01-15,37838.33,Beijing,2010,OC,BUILDINGS
2010-02-15,30989.469,Beijing,2010,OC,BUILDINGS
2010-03-15,26315.932,Beijing,2010,OC,BUILDINGS
2010-04-15,17422.957,Beijing,2010,OC,BUILDINGS
2010-05-15,9398.162,Beijing,2010,OC,BUILDINGS
2010-06-15,5370.1685,Beijing,2010,OC,BUILDINGS
2010-07-15,3753.7336,Beijing,2010,OC,BUILDINGS
2010-08-15,4366.203,Beijing,2010,OC,BUILDINGS
2010-09-15,7841.8564,Beijing,2010,OC,BUILDINGS
2010-10-15,16705.828,Beijing,2010,OC,BUILDINGS
2010-11-15,25603.086,Beijing,2010,OC,BUILDINGS
2010-12-15,37049.797,Beijing,2010,OC,BUILDINGS
2011-01-15,40888.41,Beijing,2011,OC,BUILDINGS
2011-02-15,27918.703,Beijing,2011,OC,BUILDINGS
2011-03-15,25788.273,Beijing,2011,OC,BUILDINGS
2011-04-15,14376.239,Beijing,2011,OC,BUILDINGS
2011-05-15,9226.017,Beijing,2011,OC,BUILDINGS
2011-06-15,5241.5845,Beijing,2011,OC,BUILDINGS
2011-07-15,4058.386,Beijing,2011,OC,BUILDINGS
2011-08-15,4396.7666,Beijing,2011,OC,BUILDINGS
2011-09-15,7925.8896,Beijing,2011,OC,BUILDINGS
2011-10-15,14831.91,Beijing,2011,OC,BUILDINGS
2011-11-15,23496.496,Beijing,2011,OC,BUILDINGS
2011-12-15,34678.207,Beijing,2011,OC,BUILDINGS
2012-01-15,37794.734,Beijing,2012,OC,BUILDINGS
2012-02-15,30377.223,Beijing,2012,OC,BUILDINGS
2012-03-15,23831.629,Beijing,2012,OC,BUILDINGS
2012-04-15,13382.288,Beijing,2012,OC,BUILDINGS
2012-05-15,8425.909,Beijing,2012,OC,BUILDINGS
2012-06-15,4882.6416,Beijing,2012,OC,BUILDINGS
2012-07-15,3668.737,Beijing,2012,OC,BUILDINGS
2012-08-15,4199.2954,Beijing,2012,OC,BUILDINGS
2012-09-15,7386.1416,Beijing,2012,OC,BUILDINGS
2012-10-15,15493.709,Beijing,2012,OC,BUILDINGS
2012-11-15,25320.363,Beijing,2012,OC,BUILDINGS
2012-12-15,34893.254,Beijing,2012,OC,BUILDINGS
2013-01-15,37697.64,Beijing,2013,OC,BUILDINGS
2013-02-15,29234.73,Beijing,2013,OC,BUILDINGS
2013-03-15,21872.703,Beijing,2013,OC,BUILDINGS
2013-04-15,15305.211,Beijing,2013,OC,BUILDINGS
2013-05-15,8569.238,Beijing,2013,OC,BUILDINGS
2013-06-15,4793.885,Beijing,2013,OC,BUILDINGS
2013-07-15,3812.5688,Beijing,2013,OC,BUILDINGS
2013-08-15,4155.653,Beijing,2013,OC,BUILDINGS
2013-09-15,7952.0737,Beijing,2013,OC,BUILDINGS
2013-10-15,15093.441,Beijing,2013,OC,BUILDINGS
2013-11-15,25159.463,Beijing,2013,OC,BUILDINGS
2013-12-15,34248.516,Beijing,2013,OC,BUILDINGS
2014-01-15,33858.82,Beijing,2014,OC,BUILDINGS
2014-02-15,29319.129,Beijing,2014,OC,BUILDINGS
2014-03-15,21678.318,Beijing,2014,OC,BUILDINGS
2014-04-15,13053.945,Beijing,2014,OC,BUILDINGS
2014-05-15,9069.903,Beijing,2014,OC,BUILDINGS
2014-06-15,4909.6235,Beijing,2014,OC,BUILDINGS
2014-07-15,3792.096,Beijing,2014,OC,BUILDINGS
2014-08-15,4571.777,Beijing,2014,OC,BUILDINGS
