time,emissions,city,year,pollutant,sector
2010-01-15,3931.651,Beijing,2010,PM2.5,POWER_INDUSTRY
2010-02-15,3037.5442,Beijing,2010,PM2.5,POWER_INDUSTRY
2010-03-15,3780.4004,Beijing,2010,PM2.5,POWER_INDUSTRY
2010-04-15,3624.3962,Beijing,2010,PM2.5,POWER_INDUSTRY
2010-05-15,3544.4497,Beijing,2010,PM2.5,POWER_INDUSTRY
2010-06-15,3431.2278,Beijing,2010,PM2.5,POWER_INDUSTRY
2010-07-15,3684.8965,Beijing,2010,PM2.5,POWER_INDUSTRY
2010-08-15,3842.197,Beijing,2010,PM2.5,POWER_INDUSTRY
2010-09-15,3397.0881,Beijing,2010,PM2.5,POWER_INDUSTRY
2010-10-15,3343.0698,Beijing,2010,PM2.5,POWER_INDUSTRY
2010-11-15,3636.9287,Beijing,2010,PM2.5,POWER_INDUSTRY
2010-12-15,3960.6047,Beijing,2010,PM2.5,POWER_INDUSTRY
2011-01-15,4027.8845,Beijing,2011,PM2.5,POWER_INDUSTRY
2011-02-15,3328.669,Beijing,2011,PM2.5,POWER_INDUSTRY
2011-03-15,4100.382,Beijing,2011,PM2.5,POWER_INDUSTRY
2011-04-15,3880.5059,Beijing,2011,PM2.5,POWER_INDUSTRY
2011-05-15,3896.722,Beijing,2011,PM2.5,POWER_INDUSTRY
2011-06-15,3954.9106,Beijing,2011,PM2.5,POWER_INDUSTRY
2011-07-15,4273.0396,Beijing,2011,PM2.5,POWER_INDUSTRY
2011-08-15,4346.0137,Beijing,2011,PM2.5,POWER_INDUSTRY
2011-09-15,3957.7725,Beijing,2011,PM2.5,POWER_INDUSTRY
2011-10-15,3763.1748,Beijing,2011,PM2.5,POWER_INDUSTRY
2011-11-15,3859.5198,Beijing,2011,PM2.5,POWER_INDUSTRY
2011-12-15,4306.9033,Beijing,2011,PM2.5,POWER_INDUSTRY
2012-01-15,3892.2795,Beijing,2012,PM2.5,POWER_INDUSTRY
2012-02-15,4157.7856,Beijing,2012,PM2.5,POWER_INDUSTRY
2012-03-15,4545.681,Beijing,2012,PM2.5,POWER_INDUSTRY
2012-04-15,4011.7078,Beijing,2012,PM2.5,POWER_INDUSTRY
2012-05-15,3967.2925,Beijing,2012,PM2.5,POWER_INDUSTRY
2012-06-15,3893.76,Beijing,2012,PM2.5,POWER_INDUSTRY
2012-07-15,4220.954,Beijing,2012,PM2.5,POWER_INDUSTRY
2012-08-15,4211.5776,Beijing,2012,PM2.5,POWER_INDUSTRY
2012-09-15,3741.7605,Beijing,2012,PM2.5,POWER_INDUSTRY
2012-10-15,3839.968,Beijing,2012,PM2.5,POWER_INDUSTRY
2012-11-15,4195.292,Beijing,2012,PM2.5,POWER_INDUSTRY
2012-12-15,4672.512,Beijing,2012,PM2.5,POWER_INDUSTRY
2013-01-15,4005.6436,Beijing,2013,PM2.5,POWER_INDUSTRY
2013-02-15,4005.6436,Beijing,2013,PM2.5,POWER_INDUSTRY
