time,emissions,city,year,pollutant,sector
2010-01-15,72588.31,Beijing,2010,SO2,POWER_INDUSTRY
2010-02-15,56080.805,Beijing,2010,SO2,POWER_INDUSTRY
2010-03-15,69795.836,Beijing,2010,SO2,POWER_INDUSTRY
2010-04-15,66915.6,Beijing,2010,SO2,POWER_INDUSTRY
2010-05-15,65439.582,Beijing,2010,SO2,POWER_INDUSTRY
2010-06-15,63349.215,Beijing,2010,SO2,POWER_INDUSTRY
2010-07-15,68032.59,Beijing,2010,SO2,POWER_INDUSTRY
2010-08-15,70936.76,Beijing,2010,SO2,POWER_INDUSTRY
2010-09-15,62718.914,Beijing,2010,SO2,POWER_INDUSTRY
2010-10-15,61721.6,Beijing,2010,SO2,POWER_INDUSTRY
2010-11-15,67146.97,Beijing,2010,SO2,POWER_INDUSTRY
2010-12-15,73122.87,Beijing,2010,SO2,POWER_INDUSTRY
2011-01-15,72295.84,Beijing,2011,SO2,POWER_INDUSTRY
2011-02-15,59745.73,Beijing,2011,SO2,POWER_INDUSTRY
2011-03-15,73597.08,Beijing,2011,SO2,POWER_INDUSTRY
2011-04-15,69650.555,Beijing,2011,SO2,POWER_INDUSTRY
2011-05-15,69941.625,Beijing,2011,SO2,POWER_INDUSTRY
2011-06-15,70986.04,Beijing,2011,SO2,POWER_INDUSTRY
2011-07-15,76696.086,Beijing,2011,SO2,POWER_INDUSTRY
2011-08-15,78005.89,Beijing,2011,SO2,POWER_INDUSTRY
2011-09-15,71037.41,Beijing,2011,SO2,POWER_INDUSTRY
2011-10-15,67544.6,Beijing,2011,SO2,POWER_INDUSTRY
2011-11-15,69273.88,Beijing,2011,SO2,POWER_INDUSTRY
2011-12-15,77303.9,Beijing,2011,SO2,POWER_INDUSTRY
2012-01-15,69029.3,Beijing,2012,SO2,POWER_INDUSTRY
2012-02-15,73738.03,Beijing,2012,SO2,POWER_INDUSTRY
2012-03-15,80617.32,Beijing,2012,SO2,POWER_INDUSTRY
2012-04-15,71147.34,Beijing,2012,SO2,POWER_INDUSTRY
2012-05-15,70359.65,Beijing,2012,SO2,POWER_INDUSTRY
2012-06-15,69055.55,Beijing,2012,SO2,POWER_INDUSTRY
2012-07-15,74858.32,Beijing,2012,SO2,POWER_INDUSTRY
2012-08-15,74692.02,Beijing,2012,SO2,POWER_INDUSTRY
2012-09-15,66359.84,Beijing,2012,SO2,POWER_INDUSTRY
2012-10-15,68101.555,Beijing,2012,SO2,POWER_INDUSTRY
2012-11-15,74403.2,Beijing,2012,SO2,POWER_INDUSTRY
2012-12-15,82866.664,Beijing,2012,SO2,POWER_INDUSTRY
2013-01-15,69256.61,Beijing,2013,SO2,POWER_INDUSTRY
2013-02-15,69256.61,Beijing,2013,SO2,POWER_INDUSTRY
2013-03-15,75617.83,Beijing,2013,SO2,POWER_INDUSTRY
2013-04-15,70869.31,Beijing,2013,SO2,POWER_INDUSTRY
2013-05-15,69758.34,Beijing,2013,SO2,POWER_INDUSTRY
2013-06-15,69426.84,Beijing,2013,SO2,POWER_INDUSTRY
