city,year,pollutant,sector,lat,lon,emissions
Beijing,2010,OC,BUILDINGS,36.35,111.45,10.608142852783203
Beijing,2010,OC,BUILDINGS,36.35,111.55,63.42555618286133
Beijing,2010,OC,BUILDINGS,36.35,111.65,90.81635284423828
Beijing,2010,OC,BUILDINGS,36.35,111.75,78.85567474365234
Beijing,2010,OC,BUILDINGS,36.35,111.85,3.4072494506835938
Beijing,2010,OC,BUILDINGS,36.35,111.95,5.250445365905762
Beijing,2010,OC,BUILDINGS,36.35,112.05,1.2319048643112183
Beijing,2010,OC,BUILDINGS,36.35,112.15,10.961519241333008
Beijing,2010,OC,BUILDINGS,36.35,112.25,1.6702218055725098
Beijing,2010,OC,BUILDINGS,36.35,112.35,1.973686695098877
Beijing,2010,OC,BUILDINGS,36.35,112.45,1.9771522283554077
Beijing,2010,OC,BUILDINGS,36.35,112.55,6.141430377960205
Beijing,2010,OC,BUILDINGS,36.35,112.65,13.887571334838867
Beijing,2010,OC,BUILDINGS,36.35,112.75,21.960102081298828
Beijing,2010,OC,BUILDINGS,36.35,112.85,87.6290512084961
Beijing,2010,OC,BUILDINGS,36.35,112.95,71.3267822265625
Beijing,2010,OC,BUILDINGS,36.35,113.05,147.98367309570312
Beijing,2010,OC,BUILDINGS,36.35,113.15,73.05522155761719
Beijing,2010,OC,BUILDINGS,36.35,113.25,130.62086486816406
Beijing,2010,OC,BUILDINGS,36.35,113.35,19.082374572753906
Beijing,2010,OC,BUILDINGS,36.35,113.45,9.581100463867188
Beijing,2010,OC,BUILDINGS,36.35,113.55,10.591155052185059
Beijing,2010,OC,BUILDINGS,36.35,113.65,16.4912166595459
Beijing,2010,OC,BUILDINGS,36.35,113.75,19.677766799926758
Beijing,2010,OC,BUILDINGS,36.35,113.85,32.426429748535156
Beijing,2010,OC,BUILDINGS,36.35,113.95,9.203534126281738
Beijing,2010,OC,BUILDINGS,36.35,114.05,34.05620574951172
Beijing,2010,OC,BUILDINGS,36.35,114.15,65.77981567382812
Beijing,2010,OC,BUILDINGS,36.35,114.25,61.3089485168457
Beijing,2010,OC,BUILDINGS,36.35,114.35,160.5373077392578
Beijing,2010,OC,BUILDINGS,36.35,114.45,85.7864761352539
Beijing,2010,OC,BUILDINGS,36.35,114.55,100.53602600097656
Beijing,2010,OC,BUILDINGS,36.35,114.65,108.98136901855469
Beijing,2010,OC,BUILDINGS,36.35,114.75,73.67730712890625
