latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.89455,116.35983,51.0,28800,Asia/Shanghai,GMT+8

time,temperature_2m (°C),dew_point_2m (°C),precipitation (mm),rain (mm),snowfall (cm),relative_humidity_2m (%),wind_speed_10m (km/h),wind_direction_10m (°),boundary_layer_height (m),pressure_msl (hPa),wind_gusts_10m (km/h),cloud_cover (%)
2010-01-01T00:00,-9.5,-22.8,0.00,0.00,0.00,33,6.6,351,30.00,1020.3,10.4,0
2010-01-01T01:00,-9.8,-22.7,0.00,0.00,0.00,34,6.0,343,30.00,1019.5,10.4,0
2010-01-01T02:00,-10.1,-22.6,0.00,0.00,0.00,35,5.0,339,30.00,1018.9,10.8,0
2010-01-01T03:00,-10.5,-22.9,0.00,0.00,0.00,36,4.7,337,30.00,1018.5,11.9,0
2010-01-01T04:00,-10.6,-22.9,0.00,0.00,0.00,36,4.5,331,25.00,1017.7,10.8,0
2010-01-01T05:00,-10.8,-22.9,0.00,0.00,0.00,36,4.2,329,25.00,1017.1,10.8,0
2010-01-01T06:00,-11.0,-22.9,0.00,0.00,0.00,37,3.6,323,20.00,1016.9,10.1,10
2010-01-01T07:00,-11.1,-22.9,0.00,0.00,0.00,37,3.6,323,20.00,1017.2,10.1,32
2010-01-01T08:00,-11.1,-22.9,0.00,0.00,0.00,37,5.7,342,30.00,1017.3,10.1,36
2010-01-01T09:00,-8.5,-22.0,0.00,0.00,0.00,33,5.4,356,60.00,1017.4,13.3,34
2010-01-01T10:00,-5.4,-21.8,0.00,0.00,0.00,26,4.9,36,260.00,1017.2,14.0,18
2010-01-01T11:00,-3.4,-20.1,0.00,0.00,0.00,26,5.5,58,450.00,1016.8,16.2,3
2010-01-01T12:00,-2.1,-19.1,0.00,0.00,0.00,26,5.9,79,525.00,1015.8,18.0,5
2010-01-01T13:00,-1.1,-18.6,0.00,0.00,0.00,25,6.1,90,600.00,1014.3,18.4,0
2010-01-01T14:00,-0.5,-18.1,0.00,0.00,0.00,25,5.8,94,630.00,1013.9,18.4,7
2010-01-01T15:00,-0.3,-16.2,0.00,0.00,0.00,29,5.8,90,560.00,1013.8,17.3,28
2010-01-01T16:00,-0.7,-15.6,0.00,0.00,0.00,32,4.7,90,285.00,1014.3,15.8,40
2010-01-01T17:00,-1.8,-15.0,0.00,0.00,0.00,36,7.6,95,75.00,1015.1,10.1,54
2010-01-01T18:00,-3.3,-14.9,0.00,0.00,0.00,40,5.6,75,35.00,1016.2,10.4,57
2010-01-01T19:00,-4.4,-14.8,0.00,0.00,0.00,44,4.0,360,20.00,1017.2,9.4,86
2010-01-01T20:00,-4.5,-14.9,0.00,0.00,0.00,44,5.6,345,30.00,1017.6,9.4,91
2010-01-01T21:00,-4.3,-15.1,0.00,0.00,0.00,43,5.0,339,30.00,1018.0,10.1,80
2010-01-01T22:00,-4.2,-15.2,0.00,0.00,0.00,42,5.2,335,30.00,1018.7,10.8,82
2010-01-01T23:00,-4.1,-15.1,0.00,0.00,0.00,42,5.0,339,30.00,1019.3,11.2,87
2010-01-02T00:00,-4.4,-14.7,0.00,0.00,0.00,45,4.9,343,30.00,1019.5,10.8,90
2010-01-02T01:00,-4.5,-13.7,0.00,0.00,0.00,48,5.0,360,30.00,1020.7,9.7,86
2010-01-02T02:00,-4.6,-12.3,0.00,0.00,0.00,55,4.5,29,45.00,1021.0,7.2,97
2010-01-02T03:00,-4.9,-10.2,0.00,0.00,0.07,66,4.3,90,95.00,1022.0,7.9,98
2010-01-02T04:00,-4.8,-9.2,0.10,0.00,0.07,71,4.2,110,155.00,1022.2,8.3,100
2010-01-02T05:00,-4.9,-9.1,0.10,0.00,0.07,73,5.0,120,215.00,1022.8,7.9,99
2010-01-02T06:00,-5.1,-9.5,0.10,0.00,0.07,72,4.1,128,270.00,1023.1,8.3,95
2010-01-02T07:00,-5.3,-9.9,0.10,0.00,0.07,70,3.9,124,190.00,1023.7,8.3,89
2010-01-02T08:00,-5.4,-10.4,0.00,0.00,0.07,68,3.9,124,175.00,1024.9,7.9,81
2010-01-02T09:00,-5.2,-11.3,0.00,0.00,0.07,62,5.6,135,270.00,1025.6,13.0,80
2010-01-02T10:00,-4.2,-11.9,0.00,0.00,0.07,55,5.6,140,425.00,1026.2,16.6,96
2010-01-02T11:00,-3.3,-12.1,0.00,0.00,0.00,51,6.7,144,610.00,1026.4,18.4,92
2010-01-02T12:00,-2.4,-12.2,0.00,0.00,0.00,47,7.3,147,815.00,1025.7,19.4,93
2010-01-02T13:00,-1.8,-12.6,0.00,0.00,0.00,44,7.7,152,975.00,1025.0,20.5,88
2010-01-02T14:00,-1.6,-12.8,0.00,0.00,0.00,42,9.8,152,880.00,1024.6,21.2,88
2010-01-02T15:00,-1.6,-11.4,0.00,0.00,0.00,47,11.9,151,845.00,1024.7,25.2,83
2010-01-02T16:00,-2.2,-11.6,0.00,0.00,0.00,49,12.5,147,640.00,1025.1,28.4,68
2010-01-02T17:00,-3.6,-11.8,0.00,0.00,0.00,53,7.4,151,355.00,1026.2,27.0,33
2010-01-02T18:00,-4.9,-12.2,0.00,0.00,0.00,57,6.3,167,145.00,1027.6,18.7,32
2010-01-02T19:00,-5.6,-12.4,0.00,0.00,0.00,59,6.7,126,100.00,1028.1,13.3,47
2010-01-02T20:00,-6.2,-12.5,0.00,0.00,0.00,61,6.7,126,100.00,1027.7,13.3,57
2010-01-02T21:00,-6.1,-12.5,0.00,0.00,0.00,60,5.9,128,125.00,1028.0,13.3,81
2010-01-02T22:00,-6.2,-12.3,0.00,0.00,0.00,62,4.8,132,215.00,1027.7,13.0,100
2010-01-02T23:00,-6.2,-11.8,0.00,0.00,0.00,64,6.9,133,370.00,1027.4,15.1,100
2010-01-03T00:00,-6.3,-11.2,0.10,0.00,0.07,68,7.1,131,405.00,1026.7,15.1,100
2010-01-03T01:00,-6.2,-10.6,0.20,0.00,0.14,71,7.7,127,450.00,1026.3,16.2,100
2010-01-03T02:00,-6.1,-10.1,0.40,0.00,0.28,74,8.5,126,480.00,1025.5,18.0,100
2010-01-03T03:00,-6.1,-9.5,0.60,0.00,0.42,77,9.4,133,500.00,1025.2,19.4,100
2010-01-03T04:00,-6.2,-9.2,0.80,0.00,0.56,79,11.9,145,470.00,1024.6,19.8,100
2010-01-03T05:00,-6.2,-9.1,1.00,0.00,0.70,80,12.9,150,505.00,1024.0,21.2,100
2010-01-03T06:00,-6.3,-9.0,1.00,0.00,0.70,81,10.5,149,505.00,1023.6,23.0,100
2010-01-03T07:00,-6.4,-9.1,1.00,0.00,0.70,81,9.8,144,475.00,1023.3,23.0,100
