latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
30.685411,104.11556,502.0,28800,Asia/Shanghai,GMT+8

time,temperature_2m (°C),dew_point_2m (°C),precipitation (mm),rain (mm),snowfall (cm),relative_humidity_2m (%),wind_speed_10m (km/h),wind_direction_10m (°),boundary_layer_height (m),pressure_msl (hPa),wind_gusts_10m (km/h),cloud_cover (%)
2010-01-01T00:00,3.9,2.4,0.00,0.00,0.00,90,5.2,304,20.00,1023.2,7.2,40
2010-01-01T01:00,3.4,2.2,0.00,0.00,0.00,92,3.4,288,15.00,1022.5,6.1,40
2010-01-01T02:00,3.5,2.2,0.00,0.00,0.00,92,1.9,338,10.00,1022.4,6.1,46
2010-01-01T03:00,4.3,2.0,0.00,0.00,0.00,85,2.0,45,10.00,1022.1,3.2,36
2010-01-01T04:00,3.5,1.9,0.00,0.00,0.00,89,3.1,54,15.00,1021.7,5.0,49
2010-01-01T05:00,3.6,2.0,0.00,0.00,0.00,89,4.0,85,15.00,1021.6,5.0,32
2010-01-01T06:00,3.6,2.0,0.00,0.00,0.00,89,3.1,126,25.00,1021.6,5.0,32
2010-01-01T07:00,3.5,2.0,0.00,0.00,0.00,90,5.4,132,20.00,1021.5,4.3,6
2010-01-01T08:00,3.3,2.0,0.00,0.00,0.00,91,3.1,135,15.00,1022.3,3.6,13
2010-01-01T09:00,3.4,2.2,0.00,0.00,0.00,92,0.0,270,10.00,1023.1,4.3,20
2010-01-01T10:00,5.8,2.2,0.00,0.00,0.00,78,1.0,225,35.00,1023.1,9.4,18
2010-01-01T11:00,7.6,2.8,0.00,0.00,0.00,71,3.7,209,365.00,1022.7,11.2,11
2010-01-01T12:00,9.1,3.0,0.00,0.00,0.00,66,7.2,198,660.00,1021.5,15.5,12
2010-01-01T13:00,9.8,2.9,0.00,0.00,0.00,62,8.0,190,805.00,1019.8,19.1,11
2010-01-01T14:00,10.4,2.8,0.00,0.00,0.00,60,6.8,183,895.00,1018.3,19.8,14
2010-01-01T15:00,10.1,2.5,0.00,0.00,0.00,59,6.2,170,965.00,1017.3,18.4,10
2010-01-01T16:00,10.5,2.2,0.00,0.00,0.00,56,5.3,152,950.00,1017.3,15.5,23
2010-01-01T17:00,10.2,2.2,0.00,0.00,0.00,57,3.8,139,875.00,1017.8,12.2,36
2010-01-01T18:00,9.7,2.5,0.00,0.00,0.00,61,3.8,139,130.00,1018.6,6.8,19
2010-01-01T19:00,8.4,3.0,0.00,0.00,0.00,69,1.1,360,15.00,1020.0,6.8,50
2010-01-01T20:00,7.5,3.2,0.00,0.00,0.00,74,3.2,27,35.00,1020.8,10.4,53
2010-01-01T21:00,7.2,3.5,0.00,0.00,0.00,78,4.5,29,40.00,1021.3,11.9,70
2010-01-01T22:00,6.2,3.6,0.00,0.00,0.00,83,5.2,25,35.00,1022.2,11.9,81
2010-01-01T23:00,5.9,3.7,0.00,0.00,0.00,85,4.4,35,35.00,1022.4,11.9,77
2010-01-02T00:00,5.1,3.5,0.00,0.00,0.00,90,4.3,42,40.00,1022.6,11.9,87
2010-01-02T01:00,4.8,3.5,0.00,0.00,0.00,92,4.6,45,35.00,1022.4,10.8,80
2010-01-02T02:00,4.2,3.3,0.00,0.00,0.00,94,5.9,43,30.00,1022.8,10.1,66
2010-01-02T03:00,4.6,3.2,0.00,0.00,0.00,90,5.0,30,25.00,1022.4,7.2,71
2010-01-02T04:00,5.0,3.2,0.00,0.00,0.00,88,2.5,360,15.00,1022.4,5.4,58
2010-01-02T05:00,4.7,3.1,0.00,0.00,0.00,90,0.5,315,10.00,1022.4,6.5,62
2010-01-02T06:00,4.6,3.0,0.00,0.00,0.00,90,2.7,293,15.00,1021.7,5.8,54
2010-01-02T07:00,4.6,3.0,0.00,0.00,0.00,90,2.5,262,10.00,1021.9,4.3,50
2010-01-02T08:00,4.4,2.9,0.00,0.00,0.00,90,4.5,194,20.00,1022.4,2.5,51
2010-01-02T09:00,4.5,2.8,0.00,0.00,0.00,89,4.7,171,30.00,1022.9,2.2,49
2010-01-02T10:00,6.2,3.2,0.00,0.00,0.00,81,3.2,153,60.00,1023.8,8.3,50
2010-01-02T11:00,7.7,3.5,0.00,0.00,0.00,75,5.7,162,560.00,1023.8,9.7,55
2010-01-02T12:00,8.8,3.6,0.00,0.00,0.00,70,4.5,151,660.00,1023.4,12.2,49
2010-01-02T13:00,9.2,3.7,0.00,0.00,0.00,68,4.8,117,690.00,1022.2,11.9,52
2010-01-02T14:00,9.9,3.7,0.00,0.00,0.00,65,5.4,94,745.00,1021.2,13.0,81
2010-01-02T15:00,9.2,3.7,0.00,0.00,0.00,68,6.2,69,750.00,1020.7,15.5,52
2010-01-02T16:00,9.2,3.6,0.00,0.00,0.00,68,8.4,59,720.00,1021.1,17.6,79
2010-01-02T17:00,9.1,3.5,0.00,0.00,0.00,68,9.2,59,640.00,1021.9,18.7,87
2010-01-02T18:00,8.4,3.5,0.00,0.00,0.00,71,8.0,8,335.00,1023.5,18.4,72
2010-01-02T19:00,7.8,3.8,0.00,0.00,0.00,75,4.8,13,135.00,1024.1,13.3,53
2010-01-02T20:00,7.2,4.0,0.00,0.00,0.00,80,4.7,4,85.00,1025.1,14.0,26
2010-01-02T21:00,6.7,4.2,0.00,0.00,0.00,84,2.9,353,45.00,1025.4,14.0,25
2010-01-02T22:00,5.9,4.2,0.00,0.00,0.00,89,1.9,292,25.00,1025.6,13.0,30
2010-01-02T23:00,5.1,4.2,0.00,0.00,0.00,94,3.5,246,30.00,1025.0,10.8,43
