latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
31.177504,121.46255,7.0,28800,Asia/Shanghai,GMT+8

time,temperature_2m (°C),rain (mm),snowfall (cm),precipitation (mm),dew_point_2m (°C),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),boundary_layer_height (m)
2010-01-01T00:00,-0.9,0.00,0.00,0.00,-4.6,76,1024.9,7.3,99,50.00
2010-01-01T01:00,-1.0,0.00,0.00,0.00,-4.4,78,1024.3,7.8,112,50.00
2010-01-01T02:00,-1.8,0.00,0.00,0.00,-4.7,81,1023.6,8.6,123,65.00
2010-01-01T03:00,-2.3,0.00,0.00,0.00,-5.0,82,1023.0,8.5,126,80.00
2010-01-01T04:00,-2.2,0.00,0.00,0.00,-4.9,82,1022.5,7.7,131,90.00
2010-01-01T05:00,-2.1,0.00,0.00,0.00,-4.6,83,1022.3,7.7,131,100.00
2010-01-01T06:00,-1.8,0.00,0.00,0.00,-4.3,83,1021.9,7.9,141,105.00
2010-01-01T07:00,-1.5,0.00,0.00,0.00,-3.9,83,1021.4,8.5,144,125.00
2010-01-01T08:00,0.5,0.00,0.00,0.00,-2.3,82,1022.2,12.0,147,240.00
2010-01-01T09:00,4.8,0.00,0.00,0.00,-0.8,67,1021.9,13.9,155,450.00
2010-01-01T10:00,6.8,0.00,0.00,0.00,-1.1,57,1021.6,17.0,163,535.00
2010-01-01T11:00,8.1,0.00,0.00,0.00,-1.0,53,1020.8,17.7,168,610.00
2010-01-01T12:00,9.1,0.00,0.00,0.00,-1.0,49,1019.7,17.7,174,655.00
2010-01-01T13:00,9.8,0.00,0.00,0.00,-1.0,47,1018.9,17.7,176,665.00
2010-01-01T14:00,10.1,0.00,0.00,0.00,-1.0,46,1017.6,16.6,175,635.00
2010-01-01T15:00,9.7,0.00,0.00,0.00,-0.0,51,1017.2,14.9,172,575.00
2010-01-01T16:00,9.1,0.00,0.00,0.00,0.9,57,1017.3,12.5,168,475.00
2010-01-01T17:00,7.9,0.00,0.00,0.00,1.6,64,1017.3,10.9,163,315.00
2010-01-01T18:00,7.2,0.00,0.00,0.00,2.2,71,1017.6,12.4,163,275.00
2010-01-01T19:00,7.0,0.00,0.00,0.00,2.8,75,1017.4,12.9,167,270.00
2010-01-01T20:00,7.2,0.00,0.00,0.00,3.3,76,1017.5,13.4,172,255.00
2010-01-01T21:00,7.3,0.00,0.00,0.00,3.6,77,1017.2,13.3,178,240.00
2010-01-01T22:00,7.4,0.00,0.00,0.00,3.6,77,1017.2,13.8,186,245.00
2010-01-01T23:00,7.5,0.00,0.00,0.00,3.4,76,1016.7,13.9,197,280.00
2010-01-02T00:00,7.4,0.00,0.00,0.00,3.6,77,1016.8,14.2,207,305.00
2010-01-02T01:00,7.1,0.00,0.00,0.00,4.1,81,1017.0,13.7,215,310.00
2010-01-02T02:00,6.7,0.00,0.00,0.00,4.4,85,1016.8,11.8,218,270.00
2010-01-02T03:00,7.0,0.00,0.00,0.00,4.2,82,1016.6,8.9,223,210.00
2010-01-02T04:00,6.6,0.00,0.00,0.00,4.4,86,1016.5,7.4,241,150.00
2010-01-02T05:00,6.3,0.00,0.00,0.00,4.5,88,1016.5,7.1,255,125.00
2010-01-02T06:00,5.6,0.00,0.00,0.00,4.3,91,1017.4,6.5,273,95.00
2010-01-02T07:00,4.6,0.00,0.00,0.00,3.6,93,1017.5,6.5,270,75.00
2010-01-02T08:00,5.1,0.00,0.00,0.00,4.0,93,1018.0,9.2,259,110.00
2010-01-02T09:00,7.9,0.00,0.00,0.00,4.9,82,1018.8,9.4,266,245.00
2010-01-02T10:00,9.9,0.00,0.00,0.00,4.9,71,1018.7,12.0,277,415.00
2010-01-02T11:00,11.3,0.00,0.00,0.00,4.8,64,1018.0,13.8,285,525.00
2010-01-02T12:00,12.4,0.00,0.00,0.00,4.4,58,1017.3,14.1,289,615.00
2010-01-02T13:00,13.1,0.00,0.00,0.00,3.9,54,1016.8,13.7,293,700.00
2010-01-02T14:00,13.4,0.00,0.00,0.00,3.5,51,1016.5,13.5,295,780.00
2010-01-02T15:00,12.9,0.00,0.00,0.00,3.5,53,1016.8,12.9,300,820.00
2010-01-02T16:00,12.2,0.00,0.00,0.00,4.0,57,1017.6,10.5,311,805.00
2010-01-02T17:00,10.2,0.00,0.00,0.00,4.1,66,1018.6,8.4,329,175.00
